district_id,cook_rating,pvi,cand_d_total,flags,n_validity_flags
KY-01,Safe R,-24.043650607051916,98531.99,,0
KY-02,Safe R,-21.47130501822055,66766.14,,0
KY-03,Safe D,8.079431177631157,1083341.17,,0
KY-04,Safe R,-19.686205100289342,83318.6,,0
KY-05,Safe R,-32.1729608712165,91006.19,,0
KY-06,Likely R,-9.185896454494886,972579.35,,0
LA-01,Safe R,-22.944673490403893,130792.57,,0
LA-02,Safe D,25.16643417438329,1539320.56,,0
LA-03,Safe R,-21.06595306282636,17748.85,,0
LA-04,Safe R,-13.802598221073296,258532.09,,0
LA-05,Safe R,-16.599572159228913,109075.08,,0
LA-06,Safe R,-18.66232902104467,433560.13,redistricting_flagged,1
MA-01,Safe D,8.575942547188976,2120506.6,,0
MA-02,Safe D,12.66908430464133,821499.26,,0
MA-03,Safe D,11.100187597102483,1258131.33,,0
MA-04,Safe D,11.65184581520879,1109980.74,,0
MA-05,Safe D,22.981622359533727,3349484.26,,0
MA-06,Safe D,10.243287841991489,4886638.88,,0
MA-07,Safe D,35.552286282446815,1131056.28,,0
MA-08,Safe D,14.729375410314466,664949.64,,0
MA-09,Likely D,5.6093782672373695,527075.05,,0
MD-01,Safe R,-11.511437051533768,622594.5,,0
MD-02,Likely D,6.588015915525597,592705.7,,0
MD-03,Safe D,8.507214711156301,834771.43,,0
MD-04,Safe D,40.07215890845792,520568.33,,0
MD-05,Safe D,13.90135693169312,6794548.63,,0
MD-06,Toss-Up,1.142896202854865,12013487.97,,0
MD-07,Safe D,30.226960116774826,406289.92,,0
MD-08,Safe D,29.458751280694372,4497145.49,,0
ME-01,Safe D,8.0535576548473,422199.97,,0
ME-02,Likely R,-5.701764426813255,5847145.75,,0
MI-01,Safe R,-12.864139449304293,301256.72,,0
MI-02,Safe R,-16.32899492778914,62839.75,,0
MI-03,Lean D,0.5192327169860678,1322263.93,,0
MI-04,Likely R,-5.202260954909226,933771.32,,0
MI-05,Safe R,-14.539167945315114,42466.92,,0
MI-06,Safe D,10.536606251083619,1122149.22,,0
MI-07,Lean R,-2.55840954579728,2136142.68,,0
MI-08,Lean D,-0.8913436295996224,1407807.99,,0
MI-09,Safe R,-17.85195581310617,3262.07,near_zero_candidate_floor,1
MI-10,Lean R,-3.3435538497304127,1299088.06,,0
MI-11,Likely D,6.989361726624355,2317732.95,,0
MI-12,Safe D,22.83353465712751,3585336.34,,0
MI-13,Safe D,24.1254278498976,2265604.56,,0
MN-01,Likely R,-7.847842235909125,915083.45,,0
MN-02,Lean D,-0.14427997792423597,1426426.16,,0
MN-03,Likely D,6.6782863467643505,890713.57,,0
MN-04,Safe D,16.427906101446403,1203929.39,,0
MN-05,Safe D,29.534822063444928,4467316.64,,0
MN-06,Safe R,-12.677496490338452,322743.95,,0
MN-07,Safe R,-19.328215156854412,193881.62,,0
MN-08,Safe R,-8.04388507656337,160122.03,,0
MO-01,Safe D,27.249169270162675,2901538.28,,0
MO-02,Likely R,-7.986075858271152,913662.41,,0
MO-03,Safe R,-16.521251165170824,44990.0,,0
MO-04,Safe R,-22.699460623660684,205149.0,,0
MO-05,Safe D,10.413225733597686,1083482.88,,0
MO-06,Safe R,-21.2217918081147,55154.65,,0
MO-07,Safe R,-24.16088679935535,22134.4,,0
MO-08,Safe R,-27.92529244087229,62733.56,,0
MS-01,Safe R,-18.345109622786225,401598.52,,0
MS-02,Safe D,11.473888206130106,947613.34,,0
MS-03,Safe R,-14.883227445186996,132190.87,,0
MS-04,Safe R,-21.91982653549508,22863.5,,0
MT-01,Likely R,-6.648156748725844,832794.19,,0
MT-02,Safe R,-16.562420619068124,14573.0,,0
NC-01,Lean D,2.6847642563189944,987861.56,redistricting_flagged,1
NC-02,Safe D,11.44542313038604,1075801.44,,0
NC-03,Safe R,-14.845244174580227,273730.75,,0
NC-04,Safe D,16.04355221243226,1125635.86,,0
NC-05,Safe R,-12.9346878047449,302276.16,,0
NC-06,Lean D,4.163220378592431,185983.85,redistricting_flagged,1
NC-07,Safe R,-8.254535703796442,228801.44,redistricting_flagged,1
NC-08,Safe R,-19.6845056221601,264786.58,,0
NC-09,Likely R,-5.841307578312968,2073835.72,,0
NC-10,Safe R,-22.055350387332396,57805.29,redistricting_flagged,1
NC-11,Safe R,-8.230709932398778,867576.46,,0
NC-12,Safe D,12.402821989006103,487322.17,,0
NC-13,Toss-Up,-1.864598296187117,1277986.16,redistricting_flagged,1
NC-14,Lean D,5.0351647382739895,82692.04,redistricting_flagged,1
ND-00,Safe R,-20.198325659708185,122672.28,,0
NE-01,Safe R,-9.41435049125387,301622.4,,0
NE-02,Toss-Up,-0.5855479710474842,1670896.58,,0
NE-03,Safe R,-29.05395314239278,40267.89,,0
NH-01,Lean D,-0.6241611239493683,8595870.88,,0
NH-02,Lean D,1.2041262086251447,1252997.78,,0
NJ-01,Safe D,10.541473432003373,999632.88,,0
NJ-02,Likely R,-4.761067754946824,714922.82,,0
NJ-03,Likely D,4.31835427530044,1088776.61,,0
NJ-04,Safe R,-14.584596480441704,28988.78,,0
NJ-05,Likely D,3.445661758280183,12704563.59,,0
NJ-06,Safe D,8.090405096667297,2219780.8,,0
NJ-07,Lean R,-2.1840325062936543,2826339.7,,0
NJ-08,Safe D,23.722217972151167,1555714.77,,0
NJ-09,Safe D,9.263237829680254,1021042.96,,0
NJ-10,Safe D,30.651816525153706,1486031.0,,0
NJ-11,Likely D,5.375678065707767,1795960.42,,0
NJ-12,Safe D,15.154219911894874,1441921.36,,0
NM-01,Lean D,4.293054721329781,1230687.74,,0
NM-02,Lean D,1.5160307331892997,1444484.19,,0
NM-03,Likely D,3.9759876881442278,2443667.94,,0
NV-01,Likely D,3.1666798532818117,355196.87,,0
NV-02,Likely R,-8.147825812678416,1244363.06,,0
NV-03,Lean D,1.8001935367752464,2146598.88,,0
NV-04,Likely D,3.217223200349606,1860631.09,,0
NY-01,Likely R,-3.6928800390495202,475380.87,,0
NY-02,Likely R,-3.774283387941013,372439.66,,0
NY-03,Lean D,1.705849946619914,1811088.67,redistricting_flagged,1
NY-04,Lean D,5.110116322913344,1276601.72,redistricting_flagged,1
NY-05,Safe D,31.66570070517945,1963090.06,,0
NY-06,Safe D,16.45316367287223,1967862.0,,0
NY-07,Safe D,32.947096636428,1486470.32,,0
NY-08,Safe D,27.20390212058902,14854085.6,,0
NY-09,Safe D,26.546679495384446,1093029.88,,0
NY-10,Safe D,35.683837953159355,8137328.03,,0
NY-11,Likely R,-5.641502588722533,130556.74,,0
NY-12,Safe D,34.68988016555067,6423787.18,,0
NY-13,Safe D,40.02459454905407,3198111.94,,0
NY-14,Safe D,29.655224876126084,20381468.84,,0
NY-15,Safe D,36.766509186357546,4345915.84,,0
NY-16,Safe D,20.483740598184923,605959.0,,0
NY-17,Toss-Up,2.957058137633134,11707132.24,redistricting_flagged,1
NY-18,Lean D,0.6565680576901656,1774339.46,redistricting_flagged,1
NY-19,Lean D,-0.9436788799621371,1703031.95,,0
NY-20,Likely D,6.380110330079763,1152761.13,,0
NY-21,Likely R,-9.049076835055661,3091284.75,,0
NY-22,Lean D,0.758852657433734,979982.66,redistricting_flagged,1
NY-23,Safe R,-12.452534835467782,203234.62,,0
