district_id,cook_rating,delta_seats_no_maturity,delta_seats_with_maturity,model_party_no_maturity,model_party_with_maturity
MO-03,Safe R,0.00020600703685929884,2.0022879425182598e-05,5384.273152096575,616.6394965619766
MO-04,Safe R,0.0003066446028618863,4.959198146597e-05,22070.09706232522,4491.333446828008
MO-05,Safe D,0.004829602016209078,0.0012663872877439752,373451.2514078454,117686.8712790776
MO-06,Safe R,4.7987673704414074e-05,8.875393122872999e-06,2165.3310481796143,492.7235272090402
MO-07,Safe R,1.2675013067487979e-08,4.2481380296095425e-09,2.9652721440907044,1.4133753098649322
MO-08,Safe R,0.0,0.0,7.275957614183426e-12,0.0
MS-01,Safe R,0.007440585646755933,0.001280189772124428,420632.8352185248,80121.14493838453
MS-02,Safe D,0.0022591375529799063,0.0004927985507207078,223763.6021325955,61005.497808900545
MS-03,Safe R,0.014022710953300911,0.0009672102138859814,334146.9726651699,18945.59166071337
MS-04,Safe R,1.5699900365954414e-07,2.8899143440861818e-08,22.95400053461708,5.703844709554687
MT-01,Likely R,0.08234248048553644,0.04257326838270786,4249200.154824881,2927734.591739326
MT-02,Safe R,1.1101220453841828e-07,2.992230372916708e-08,14.057709718699698,5.043023336931583
NC-01,Lean D,-0.002561465281323727,-0.00037515072653432346,3029583.880267327,2383609.866738916
NC-02,Safe D,0.0,0.0,0.0,0.0
NC-03,Safe R,0.006065169952601587,0.0013034689085623906,237054.89626675053,56515.965088623285
NC-04,Safe D,0.0,0.0,0.0,0.0
NC-05,Safe R,0.015166111090871244,0.0032111820190833945,544268.321865218,117326.89300747687
NC-06,Lean D,0.21496775401539542,0.05626141962278758,3893204.273922309,809804.213321645
NC-07,Safe R,0.049948102365561464,0.00943370228328938,1298205.4073517732,199685.54691869405
NC-08,Safe R,0.0033723831318168696,0.0004344139233776814,165827.08114625682,24124.832848044054
NC-09,Likely R,0.08847664096384639,0.08693052235218224,6854104.707136554,10043824.376433654
NC-10,Safe R,2.332650160699742e-05,2.6056772630142586e-06,1476.89269740499,207.61652193760528
NC-11,Safe R,-0.014373552535819178,-0.0033373792033669636,3994996.337639802,4450705.518857579
NC-12,Safe D,0.00013165223933542247,2.7720636845085522e-05,31066.944195304473,9309.195839669206
NC-13,Toss-Up,0.0933717914330876,0.04096653853084509,3036449.330476258,1396600.0586386381
NC-14,Lean D,0.2539969264107887,0.0449405210503131,3148874.7611545785,281471.7297140083
ND-00,Safe R,9.69056167349552e-05,1.939630835410492e-05,6575.303911123323,1660.933491118456
NE-01,Safe R,0.0536798927659945,0.010636878673929318,1694176.759437331,288664.2400828203
NE-02,Toss-Up,0.07451144122739761,0.06578080875891712,5402219.379715386,7059796.848943397
NE-03,Safe R,0.0,0.0,0.0,0.0
NH-01,Lean D,0.0,0.0018676684963234713,0.0,974798.5100290179
NH-02,Lean D,0.022630907449181503,0.007583234513121262,1243376.220587685,462263.9512591355
NJ-01,Safe D,0.0,0.0,0.0,0.0
NJ-02,Likely R,0.12045446063676019,0.0633589706124209,5152802.267294216,3588585.872093336
NJ-03,Likely D,0.0006104234359302074,0.00028844374732439615,135572.92397417547,91231.4847916835
NJ-04,Safe R,0.00034759722605156706,2.4580164338210315e-05,5466.294326153773,438.64694370897996
NJ-05,Likely D,0.0,0.0,0.0,0.0
NJ-06,Safe D,0.0,0.0,0.0,0.0
NJ-07,Lean R,-0.024427535087048424,-0.014144067046301112,5115614.870044787,8770020.844587386
NJ-08,Safe D,0.0,0.0,0.0,0.0
NJ-09,Safe D,0.005445740967462309,0.0013372363267666332,400367.95757476334,116337.43685893179
NJ-10,Safe D,0.0,0.0,0.0,0.0
NJ-11,Likely D,0.007830836167969424,0.0035345331905218824,736458.1018885062,421917.8755521793
NJ-12,Safe D,0.0,0.0008717551039374438,0.0,418005.39823893644
NM-01,Lean D,0.0014276899421490352,0.0029448420297550904,328170.0002627168,1017693.9165844249
