allocator,expected_seats,description
DCCC observed,213.36650713341362,"Actual DCCC party+IE spend (floors fixed), true nonlinear P_win"
Null (equal-weight),213.68226187202617,DCCC party budget spread uniformly across competitive races (floors fixed)
Cook-implied,213.548141923941,DCCC party budget proportional to Cook win probability (floors fixed)
Model optimizer,216.58901141885434,DCCC party budget via marginal seat gain optimization (floors fixed)
