period_date,days_before_election,party_dollars_spent_to_date,pct_of_final_party_budget_spent,model_expected_seats,gain_vs_dccc_final,pct_of_full_hindsight_gain
2021-04-15,572,6217928.0,1.9,186.943,-26.423,-820.0
2021-07-15,481,6217928.0,1.9,193.383,-19.984,-620.1
2021-10-15,389,6225583.0,1.9,197.628,-15.738,-488.4
2022-04-15,207,6250058.0,1.9,207.792,-5.575,-173.0
2022-07-15,116,7752306.0,2.4,212.121,-1.245,-38.6
2022-10-15,24,101664138.0,31.6,215.361,1.994,61.9
