label,gb,model_seats,dccc_seats,gain
"2014 (D-5.8, most R-favorable on record)",-5.8,220.73135293144074,214.46367489758487,6.267678033855873
2022 (D-1.0),-1.0,227.37775047073387,220.44554373561823,6.932206735115642
2024 (D-1.2),-1.2,227.0935892580831,220.19100416769345,6.902585090389664
neutral (D+0.0),0.0,228.80815796478691,221.72562680625248,7.082531158534437
"2026 live (D+5.02, current estimate)",5.02,236.26162856738046,228.3560693482543,7.905559219126161
2020 (D+7.0),7.0,239.32987362462444,231.08345993434102,8.246413690283418
"2018 (D+8.6, most D-favorable on record)",8.6,241.86197180241433,233.33319170621698,8.528780096197352
