district_id,cook_rating,actual_m,forecast_m,model_m,cook_m,uniform_m,p_win,delta_m,rank
MD-06,Toss-Up,24.74512125,25.49322068830252,0.0,1.742471015714286,1.9959213452727274,0.7324247211633695,-24.74512125,0
NY-17,Toss-Up,11.70713224,12.455231678302521,0.0,1.742471015714286,1.9959213452727274,0.7596778009838692,-11.70713224,1
VA-07,Lean D,5.52933543,6.315943508800738,0.0,2.439459422,1.9959213452727274,0.998846327505115,-5.52933543,2
KS-03,Toss-Up,2.3019657400000004,3.050065178302521,0.0,1.742471015714286,1.9959213452727274,0.9980801187284754,-2.3019657400000004,3
PA-17,Lean D,2.05664021,2.843248288800739,0.0,2.439459422,1.9959213452727274,0.9988246092556985,-2.05664021,4
CA-49,Lean D,2.01552336,2.8021314388007386,0.0,2.439459422,1.9959213452727274,0.9970776576957254,-2.01552336,5
NY-03,Lean D,1.8110886700000002,2.5976967488007388,0.0,2.439459422,1.9959213452727274,0.9902604153711954,-1.8110886700000002,6
WA-03,Toss-Up,2.3044668200000005,3.0525662583025213,0.5286014029159323,1.742471015714286,1.9959213452727274,0.9764973199782944,-1.7758654170840682,7
NY-18,Lean D,1.77433946,2.5609475388007388,0.0,2.439459422,1.9959213452727274,0.9992032296464279,-1.77433946,8
CA-41,Toss-Up,1.61283135,2.3609307883025212,0.0,1.742471015714286,1.9959213452727274,0.9969240981383528,-1.61283135,9
NM-02,Lean D,1.4444841899999998,2.231092268800739,2.328306436538696e-16,2.439459422,1.9959213452727274,0.990036355970446,-1.4444841899999996,10
MN-02,Lean D,1.4264261599999999,2.2130342388007387,2.328306436538696e-16,2.439459422,1.9959213452727274,0.9904379842078492,-1.4264261599999997,11
OH-13,Lean D,1.36110702,2.147715098800739,0.0,2.439459422,1.9959213452727274,0.9987157746994386,-1.36110702,12
CO-07,Lean D,1.32230986,2.108917938800739,0.0,2.439459422,1.9959213452727274,0.9993698713367449,-1.32230986,13
WA-08,Lean D,1.3031075300000001,2.0897156088007387,0.0,2.439459422,1.9959213452727274,0.9992563946984215,-1.3031075300000001,14
CA-03,Toss-Up,1.29316046,2.041259898302521,0.0,1.742471015714286,1.9959213452727274,0.9842448886448913,-1.29316046,15
MI-03,Lean D,1.24146775,2.028075828800739,0.0,2.439459422,1.9959213452727274,0.9973810966634032,-1.24146775,16
AZ-04,Lean D,1.11255597,1.8991640488007386,0.0029883582660158864,2.439459422,1.9959213452727274,0.9964333761815876,-1.109567611733984,17
NY-04,Lean D,1.27660172,2.0632097988007385,0.16848505102782463,2.439459422,1.9959213452727274,0.88212187390063,-1.1081166689721753,18
IL-17,Lean D,1.02082768,1.8074357588007388,3.4924596548080445e-16,2.439459422,1.9959213452727274,0.9953861135696174,-1.0208276799999996,19
NY-22,Lean D,0.97998266,1.7665907388007387,1.164153218269348e-16,2.439459422,1.9959213452727274,0.9985284339584147,-0.9799826599999999,20
NY-19,Lean D,1.70303195,2.4896400288007383,0.7828725393437455,2.439459422,1.9959213452727274,0.9662117874173928,-0.9201594106562545,21
