district_id,period,period_date,model_recommended_party_spend,dccc_actual_cumulative_party_spend,dccc_actual_incremental_party_spend,gap
AZ-01,1,2021-06-15,6050733.177869736,-2455493.79,0.0,6050733.177869736
AZ-02,1,2021-06-15,4568744.812897215,-4143769.0399999996,0.0,4568744.812897215
AZ-04,1,2021-06-15,1169343.137550152,-5108234.25,0.0,1169343.137550152
CA-09,1,2021-06-15,0.0,-8631815.59,0.0,0.0
CA-13,1,2021-06-15,6017460.982715253,-2240651.28,0.0,6017460.982715253
CA-22,1,2021-06-15,21118603.42361621,-2843784.9,0.0,21118603.42361621
CA-27,1,2021-06-15,16209998.823788434,-3939876.14,0.0,16209998.823788434
CA-40,1,2021-06-15,11440081.124705553,-3684677.77,0.0,11440081.124705553
CA-45,1,2021-06-15,6979282.7036531335,-4953234.470000001,0.0,6979282.7036531335
CA-49,1,2021-06-15,1251780.1435052874,-6229886.45,0.0,1251780.1435052874
CO-07,1,2021-06-15,0.0,-2828011.58,0.0,0.0
CO-08,1,2021-06-15,5128640.440860652,-3450642.71,0.0,5128640.440860652
CT-02,1,2021-06-15,0.0,-2463262.0900000003,0.0,0.0
CT-05,1,2021-06-15,2167599.665331864,-3255526.98,0.0,2167599.665331864
FL-07,1,2021-06-15,0.0,-1372067.8699999999,0.0,0.0
FL-23,1,2021-06-15,0.0,-1670073.61,0.0,0.0
FL-27,1,2021-06-15,10654954.678281931,-1893396.45,0.0,10654954.678281931
FL-28,1,2021-06-15,3474676.625135405,-123518.93,0.0,3474676.625135405
IA-03,1,2021-06-15,859602.9529228751,-7041545.76,0.0,859602.9529228751
IL-13,1,2021-06-15,4436619.2044752855,-3796676.35,0.0,4436619.2044752855
IL-17,1,2021-06-15,7694861.704858594,-2983968.25,0.0,7694861.704858594
KS-03,1,2021-06-15,0.0,-7970492.26,0.0,0.0
MD-06,1,2021-06-15,0.0,-12924190.280000001,0.0,0.0
ME-02,1,2021-06-15,2941036.6826353744,-5934177.180000001,0.0,2941036.6826353744
MI-03,1,2021-06-15,9074706.891992088,-3719215.5100000002,0.0,9074706.891992088
MI-07,1,2021-06-15,0.0,-11157182.03,0.0,0.0
MI-08,1,2021-06-15,1046415.8152873022,-6256087.37,0.0,1046415.8152873022
MN-02,1,2021-06-15,2146876.1275344305,-8564730.25,0.0,2146876.1275344305
NC-01,1,2021-06-15,5243488.287512732,-1762951.79,0.0,5243488.287512732
NC-13,1,2021-06-15,4960708.371155991,-3618928.67,0.0,4960708.371155991
NE-02,1,2021-06-15,8428160.39202717,-3261442.29,0.0,8428160.39202717
NH-01,1,2021-06-15,1764818.1069687465,-5089125.59,0.0,1764818.1069687465
NH-02,1,2021-06-15,0.0,-5042374.300000001,0.0,0.0
NJ-07,1,2021-06-15,0.0,-8764242.3,0.0,0.0
NM-01,1,2021-06-15,13434455.2322885,-2537315.75,0.0,13434455.2322885
NM-02,1,2021-06-15,6819546.626860043,-3569826.26,0.0,6819546.626860043
NV-03,1,2021-06-15,683546.7322413027,-6082362.57,0.0,683546.7322413027
NY-03,1,2021-06-15,3581894.7622721666,-3467257.63,0.0,3581894.7622721666
NY-04,1,2021-06-15,6213496.945176715,-1727130.79,0.0,6213496.945176715
NY-17,1,2021-06-15,0.0,-6430158.98,0.0,0.0
NY-18,1,2021-06-15,3777483.433447087,-4657558.01,0.0,3777483.433447087
NY-19,1,2021-06-15,2814581.4263691967,-6642110.23,0.0,2814581.4263691967
NY-22,1,2021-06-15,5454160.263872612,-2928953.65,0.0,5454160.263872612
OH-01,1,2021-06-15,7558276.19540037,-2604972.65,0.0,7558276.19540037
OH-09,1,2021-06-15,3527373.5923725897,-3682431.0799999996,0.0,3527373.5923725897
OH-13,1,2021-06-15,6042779.497660663,-2396611.97,0.0,6042779.497660663
OR-04,1,2021-06-15,9813608.108432006,-2474876.33,0.0,9813608.108432006
OR-05,1,2021-06-15,1315809.645854419,-5025196.260000001,0.0,1315809.645854419
OR-06,1,2021-06-15,5088250.896765033,-3303807.83,0.0,5088250.896765033
PA-01,1,2021-06-15,9339019.356380552,-964394.38,0.0,9339019.356380552
PA-07,1,2021-06-15,2412954.699218598,-6835941.42,0.0,2412954.699218598
PA-08,1,2021-06-15,3358773.599528617,-5292767.31,0.0,3358773.599528617
PA-17,1,2021-06-15,58562.011727569625,-7086934.68,0.0,58562.011727569625
RI-02,1,2021-06-15,4621080.067058248,-3769245.92,0.0,4621080.067058248
TX-15,1,2021-06-15,7463693.05930317,-2334819.06,0.0,7463693.05930317
TX-28,1,2021-06-15,1620167.206258079,-6424513.83,0.0,1620167.206258079
VA-02,1,2021-06-15,0.0,-10355021.26,0.0,0.0
VA-07,1,2021-06-15,0.0,-9195119.43,0.0,0.0
WA-08,1,2021-06-15,0.0,-10734003.43,0.0,0.0
WI-01,1,2021-06-15,7525923.900563417,-814276.45,0.0,7525923.900563417
WI-03,1,2021-06-15,6872528.793667642,-1798293.31,0.0,6872528.793667642
AZ-01,2,2021-06-29,5987507.509654849,-2455493.79,0.0,5987507.509654849
AZ-02,2,2021-06-29,4509239.960178951,-4143769.0399999996,0.0,4509239.960178951
AZ-04,2,2021-06-29,1133067.983945367,-5108234.25,0.0,1133067.983945367
CA-09,2,2021-06-29,1.862645149230957e-09,-8631815.59,0.0,1.862645149230957e-09
CA-13,2,2021-06-29,5956121.3690585755,-2240651.28,0.0,5956121.3690585755
CA-22,2,2021-06-29,20941963.289676294,-2843784.9,0.0,20941963.289676294
CA-27,2,2021-06-29,16055996.23060802,-3939876.14,0.0,16055996.23060802
CA-40,2,2021-06-29,11327084.543225568,-3684677.77,0.0,11327084.543225568
CA-45,2,2021-06-29,6892566.419657276,-4953234.470000001,0.0,6892566.419657276
CA-49,2,2021-06-29,1210632.3635258554,-6229886.45,0.0,1210632.3635258554
CO-07,2,2021-06-29,0.0,-2828011.58,0.0,0.0
CO-08,2,2021-06-29,5065082.876015556,-3450642.71,0.0,5065082.876015556
CT-02,2,2021-06-29,1.3969838619232178e-09,-2463262.0900000003,0.0,1.3969838619232178e-09
CT-05,2,2021-06-29,2136809.3035466764,-3255526.98,0.0,2136809.3035466764
FL-07,2,2021-06-29,0.0,-1372067.8699999999,0.0,0.0
FL-23,2,2021-06-29,0.0,-1670073.61,0.0,0.0
FL-27,2,2021-06-29,10561226.68605037,-1893396.45,0.0,10561226.68605037
FL-28,2,2021-06-29,3448091.5013994486,-123518.93,0.0,3448091.5013994486
IA-03,2,2021-06-29,808003.1734433519,-7041545.76,0.0,808003.1734433519
IL-13,2,2021-06-29,4375753.941889597,-3796676.35,0.0,4375753.941889597
IL-17,2,2021-06-29,7616188.53765716,-2983968.25,0.0,7616188.53765716
KS-03,2,2021-06-29,0.0,-7970492.26,0.0,0.0
MD-06,2,2021-06-29,0.0,-12924190.280000001,0.0,0.0
ME-02,2,2021-06-29,2880577.1852647457,-5934177.180000001,0.0,2880577.1852647457
MI-03,2,2021-06-29,8980661.804007988,-3719215.5100000002,0.0,8980661.804007988
MI-07,2,2021-06-29,1.862645149230957e-09,-11157182.03,0.0,1.862645149230957e-09
MI-08,2,2021-06-29,1000766.5981997065,-6256087.37,0.0,1000766.5981997065
MN-02,2,2021-06-29,2087650.3679168355,-8564730.25,0.0,2087650.3679168355
NC-01,2,2021-06-29,5192614.233502996,-1762951.79,0.0,5192614.233502996
NC-13,2,2021-06-29,4896977.047603249,-3618928.67,0.0,4896977.047603249
NE-02,2,2021-06-29,8341917.375625408,-3261442.29,0.0,8341917.375625408
NH-01,2,2021-06-29,1721461.1484930208,-5089125.59,0.0,1721461.1484930208
NH-02,2,2021-06-29,0.0,-5042374.300000001,0.0,0.0
NJ-07,2,2021-06-29,1.862645149230957e-09,-8764242.3,0.0,1.862645149230957e-09
NM-01,2,2021-06-29,16452539.76438368,-1518222.94,1019092.81,15433446.954383679
NM-02,2,2021-06-29,6742803.655434823,-3569826.26,0.0,6742803.655434823
NV-03,2,2021-06-29,644437.3661244484,-6082362.57,0.0,644437.3661244484
NY-03,2,2021-06-29,3546446.3212565803,-3467257.63,0.0,3546446.3212565803
NY-04,2,2021-06-29,6154117.087750276,-1727130.79,0.0,6154117.087750276
NY-17,2,2021-06-29,1.862645149230957e-09,-6430158.98,0.0,1.862645149230957e-09
NY-18,2,2021-06-29,3715016.7284090407,-4657558.01,0.0,3715016.7284090407
NY-19,2,2021-06-29,2758947.3874689853,-6642110.23,0.0,2758947.3874689853
NY-22,2,2021-06-29,5391809.774682784,-2928953.65,0.0,5391809.774682784
OH-01,2,2021-06-29,7483383.198794423,-2604972.65,0.0,7483383.198794423
