district_id,total_gap,sigma_i
AZ-01,284439714.0227507,11.13528306217609
AZ-02,193842839.5687538,20.724418546985557
AZ-04,8448110.078228414,20.13177147979207
CA-09,-6396973.299999987,14.308840585060539
CA-13,212251702.95088756,11.265896128560158
CA-22,619877571.8059821,11.364235740774731
CA-27,513171573.5153796,11.24415459104434
CA-40,483788857.2117649,11.128610974758992
CA-45,383392986.51783144,11.199692407560468
CA-49,56390105.64213888,20.266133808067305
CO-07,63339695.90413442,14.118726732793506
CO-08,102842016.83234304,13.968309803200883
CT-02,30891552.687916745,20.193778832770636
CT-05,35689051.20214,20.19535682013529
FL-07,153703536.10827395,20.560763608986267
FL-23,9837395.412247984,11.327588522417305
FL-27,462992907.1882241,11.15230377670412
FL-28,159357035.41735727,13.947191954294452
IA-03,33269101.65641446,20.250213882893412
IL-13,77262105.10123436,11.200579258318085
IL-17,299384268.05143696,14.06191180588611
KS-03,-1599156.3377517732,20.178363389512707
MD-06,-8158785.249999998,20.074184550256316
ME-02,45648573.81191064,20.63327016615622
MI-03,283753187.5416748,11.006584181969373
MI-07,11924042.728652393,20.246137634095824
MI-08,13909090.294609815,20.04377974617284
MN-02,72141582.7982744,19.953754414178142
NC-01,317041597.3236942,11.151147561345878
NC-13,225420152.6452681,14.041969370752303
NE-02,367957975.197709,11.010983216865759
NH-01,44941827.032355115,20.011536205409662
NH-02,-3164598.5799999987,20.081592311364005
NJ-07,27894392.35791701,20.200516480455654
NM-01,318748241.52475977,11.259738793817554
NM-02,291888707.80434614,11.072892693561966
NV-03,57496040.84573056,20.15384903429574
NY-03,100949206.18226574,20.14239518148757
NY-04,119227046.84159502,11.315310954200903
NY-17,-7832897.481075236,20.294829764215354
NY-18,146551275.81548592,11.015696297442911
NY-19,35705914.258165434,20.050101637766137
NY-22,100329888.2791115,11.022487718893325
OH-01,245073957.4992098,11.071155736615733
OH-09,74425191.43956023,20.26037542461398
OH-13,148567160.1052369,13.920243747281067
OR-04,356297168.36291474,14.20883818984105
OR-05,32206676.16371274,20.104423517776333
OR-06,147283182.7402289,14.189091668875047
PA-01,364736355.728873,10.99400382338215
PA-07,101030144.46990776,20.210927432073056
PA-08,70140738.49648626,20.484613264815813
PA-17,4196412.383569898,19.94372604785583
RI-02,65358124.160211675,14.204226391430941
TX-15,398218434.1144045,11.039794333458786
TX-28,11400069.287571488,11.314862084116287
VA-02,4287030.840886638,20.25874690905042
VA-07,3776356.2067959066,20.01064905750395
WA-08,-11163344.07451562,20.047206904142662
WI-01,312605082.360542,11.165971578514982
WI-03,371632128.7742646,14.230071966797158
