cycle,delta_t_days,realized_delta_g,predicted_sd,z_score,direction
2018,66,-0.1621900000000025,1.4931982587720896,-0.10861919979291776,toward R
2020,63,-0.07865100000000069,1.4588672729210153,-0.053912375347567994,toward R
2022,68,-2.176198999999997,1.515653627977052,-1.4358155186845538,toward R
2024,65,-1.9481400726510145,1.4818429741372732,-1.3146737587261692,toward R
