threshold_label,threshold_dollars,gain_2026,toss_up_contribution,safe_r_contribution
2024-p10,2940925.4860000005,6.2589604481782715,0.669957516281378,0.6892285698107001
2024-p25,6915157.5600000005,4.196533722214667,0.5137146201213483,0.4029514676390187
2024-p50,10856488.67,3.1774735209831135,0.41355890976960713,0.2990817234465118
2024-p75,15514617.939999998,2.4785022767556484,0.3396887777061744,0.23455350051262416
2022-p10,4145678.9,5.461759749062821,0.6094406867170878,0.5627273677808646
2022-p25,6960814.970000001,4.180299386568777,0.5122316589213033,0.40122675933577057
2022-p50,9596889.209999999,3.4362145512644133,0.4404454663926188,0.3247382584572356
2022-p75,13623019.17,2.7225313814575998,0.36587723478156015,0.2565209380069623
