district_id,state,district,cook_rating,incumb_status,pvi,d_total,r_total,ratio,mu_hat,sigma_i,p_win,msg_i_per_1m,recommended_share,observed_share,difference,outcome,redistricting_flagged
NJ-04,NJ,4,Safe R,Challenger,-14.584596480441704,50310.47,732773.81,0.06424655849303985,-31.872,6.971,0.0,0.000183,3.9e-05,3.9e-05,0.0,R,False
GA-12,GA,12,Likely R,Challenger,-7.63401355344136,12957.31,908308.25,0.01406468510556283,-32.392,6.644,0.0,0.00018,1e-05,1e-05,0.0,R,False
FL-18,FL,18,Safe R,Challenger,-12.982997177715792,30174.83,686777.37,0.04208764545251414,-32.484,6.894,0.0,0.000163,2.3e-05,2.3e-05,0.0,R,False
KY-04,KY,4,Safe R,Challenger,-19.686205100289342,175837.35,700247.02,0.20070823772372517,-30.896,7.222,0.0,0.000163,7e-06,0.000136,-0.000129,R,False
NC-12,NC,12,Safe D,Incumbent,12.402821989006103,685531.13,48917.57,0.9333955251061102,43.351,12.007,0.9998,0.000162,0.000531,0.000531,0.0,D,False
CA-10,CA,10,Safe D,Incumbent,18.00449331076005,611351.83,83086.76,0.8803540569368415,47.402,12.482,0.9999,0.000158,0.000473,0.000473,0.0,D,False
MS-02,MS,2,Safe D,Incumbent,11.473888206130106,1349946.31,123525.67,0.9161669365439851,41.716,11.93,0.9998,0.000156,0.001045,0.001045,0.0,D,False
WA-08,WA,8,Lean D,Incumbent,0.9197171183407571,5643501.9799999995,258495.67,0.9562020039096424,31.763,11.09,0.9979,0.000155,0.003918,0.004371,-0.000453,D,False
PA-12,PA,12,Likely D,Incumbent,7.88100756160039,2034245.1900000002,135559.24,0.9375246735946613,38.618,11.637,0.9995,0.000144,0.001527,0.001575,-4.8e-05,D,False
IN-03,IN,3,Safe R,Open,-18.388894143413275,256767.59,6020627.68,0.04090352430523306,-43.935,10.373,0.0,0.000139,0.000199,0.000199,0.0,R,False
CA-38,CA,38,Safe D,Incumbent,15.524643438248566,1565648.93,236288.55,0.8688697290429854,44.283,12.27,0.9998,0.000138,0.001213,0.001213,0.0,D,False
MA-09,MA,9,Likely D,Incumbent,5.6093782672373695,877343.05,20067.46,0.977638483418252,37.578,11.456,0.9995,0.000138,0.000679,0.000679,0.0,D,False
NV-02,NV,2,Safe R,Challenger,-8.147825812678416,19689.24,1218394.61,0.01590299396926953,-32.318,6.667,0.0,0.000135,3e-06,1.5e-05,-1.2e-05,R,False
FL-14,FL,14,Safe D,Incumbent,8.855974120729392,1290979.28,70703.02,0.9480767136357724,40.049,11.716,0.9997,0.000134,0.001,0.001,0.0,D,False
CA-42,CA,42,Safe D,Incumbent,23.548646756052822,1270301.2,353899.8,0.7821083720549366,49.317,12.97,0.9999,0.000131,0.000984,0.000984,0.0,D,False
CA-25,CA,25,Likely D,Incumbent,6.785435303968063,2405351.48,139924.59,0.9450257708194303,37.704,11.549,0.9995,0.000129,0.00185,0.001863,-1.3e-05,D,False
OH-02,OH,2,Safe R,Open,-24.48289495044701,160282.6,2175723.9699999997,0.06861393373564015,-47.146,10.82,0.0,0.000126,0.000124,0.000124,0.0,R,False
CO-07,CO,7,Lean D,Incumbent,2.769295170062125,1959228.96,45703.78,0.9772043325503278,34.492,11.233,0.9989,0.000125,0.001498,0.001517,-1.9e-05,D,False
