district_id,tier,msg_i_per_1m,floor,nl_party_alloc,lp_party_alloc
CO-06,Safe D,8.235403306157972e-06,2176020.51,0.0,0.0
CO-07,Lean D,0.00019165858353483765,1274437.48,0.0,0.0
CO-08,Toss-Up,0.03146386298182608,3222375.64,3137515.748100838,0.0
CT-01,Safe D,5.132274673611826e-07,1198120.04,0.0,0.0
CT-02,Lean D,0.006881137541210653,419825.2,1.7462298274040222e-10,0.0
CT-03,Likely D,9.021708606767534e-06,870667.26,0.0,0.0
CT-04,Safe D,3.1247655918920213e-06,839472.29,0.0,0.0
CT-05,Lean D,0.0024905078086696927,641190.75,2.3283064365386963e-10,0.0
DE-00,Likely D,3.4127450664357174e-07,1666348.16,0.0,0.0
FL-01,Safe R,3.5043196822997503e-10,12948.4,7.275957614183426e-12,0.0
FL-02,Likely R,0.28524721797606367,262032.2,3022291.4379674266,0.0
FL-03,Safe R,0.00041741902588673165,19396.74,3.637978807091713e-11,0.0
FL-04,Likely R,0.21188335135531053,285240.11,3673451.6478397488,0.0
FL-05,Safe R,0.0701810017713175,65892.01,1491514.526782872,0.0
FL-06,Safe R,0.0005873852688412975,15933478.15,0.0,0.0
FL-07,Likely R,0.29254303984007207,227793.9,3928595.8638623813,0.0
FL-08,Safe R,0.042533024389347564,313835.78,1700036.094748206,0.0
FL-09,Safe D,1.1788173994888556,422928.05,962771.2061154542,0.0
FL-10,Safe D,0.0,2475654.79,0.0,0.0
FL-11,Likely R,0.3701664956897634,20831.88,2375583.370086538,0.0
FL-12,Safe R,0.005452987743008137,265534.39,0.0,0.0
FL-13,Likely R,0.1550799998766246,553303.6,4222213.752042738,0.0
FL-14,Safe D,0.0007133758797947662,386157.72,5.820766091346741e-11,0.0
FL-15,Likely R,0.17486331485020443,24890.25,4059976.4469096656,0.0
FL-16,Likely R,0.057323871603508735,22918.94,4048202.616747435,0.0
FL-17,Safe R,0.01242607008199634,31977.82,2355636.045784629,0.0
FL-18,Safe R,1.7200590379646555e-12,107.03,1.1084466677857563e-12,0.0
FL-19,Safe R,0.0015463635631166276,35205.17,3502508.0906878184,0.0
FL-20,Safe D,1.223437729451699e-06,1052517.34,0.0,0.0
FL-21,Likely R,0.018082233666382647,146272.04,5675808.319952016,0.0
FL-22,Likely D,0.6829131984125745,403470.7,3622451.848036354,0.0
FL-23,Likely D,0.0011594433439005673,678246.06,1.1641532182693481e-10,0.0
FL-24,Safe D,1.9336053421230458e-07,260134.72,0.0,0.0
FL-25,Safe D,0.021622192692041676,842813.43,151118.71775887907,0.0
FL-26,Likely R,0.017480149175287518,29206.42,4853056.102285241,0.0
FL-27,Toss-Up,0.5708958620967985,405774.53,3783802.726378912,0.0
FL-28,Toss-Up,2.44394442177154,76322.34,2931809.217731607,59009487.8183864
GA-01,Likely R,0.0011373629366246234,117192.95,1.0186340659856796e-10,0.0
GA-02,Likely D,0.0018488972186322277,732804.92,1.1641532182693481e-10,0.0
GA-03,Safe R,6.425119498309885e-05,68823.16,0.0,0.0
GA-04,Safe D,0.0,355545.66,0.0,0.0
GA-05,Safe D,2.239144208015984e-09,442858.95,0.0,0.0
GA-06,Safe R,0.0030890858961588933,1088802.25,2.3283064365386963e-10,0.0
GA-07,Likely D,3.5032231214633485,73963.52,2945523.1608910887,59009487.8183864
GA-08,Safe R,6.363488734365056e-05,24002.84,1.8189894035458565e-11,0.0
GA-09,Safe R,9.54530345031068e-05,109319.08,0.0,0.0
GA-10,Safe R,0.0019542059023550952,197113.42,1.4551915228366852e-10,0.0
GA-11,Safe R,0.003476027977220477,40963.65,3823378.075692028,0.0
GA-12,Likely R,0.010507207404071323,24535.91,3490281.294153195,0.0
GA-13,Safe D,0.0,1044790.75,0.0,0.0
GA-14,Safe R,0.0006435372107426395,7824774.88,0.0,0.0
HI-01,Safe D,0.0,336021.52,0.0,0.0
HI-02,Safe D,0.0001484542586566372,547832.1,0.0,0.0
IA-01,Likely R,0.08115826956667382,1418406.06,5938567.80072288,0.0
IA-02,Lean R,0.09650034302559231,633389.3,7757480.83666708,0.0
IA-03,Lean R,0.10851047546433416,1186604.74,4127786.277664628,0.0
IA-04,Safe R,0.001283457576858361,61895.2,9.458744898438454e-11,0.0
ID-01,Safe R,0.00027000918266604015,134248.47,2.9103830456733704e-11,0.0
ID-02,Safe R,0.00046091588997570305,30477.4,4.729372449219227e-11,0.0
IL-01,Safe D,3.9948144011971636e-07,316331.74,0.0,0.0
IL-02,Safe D,8.166126100574328e-08,2470319.03,0.0,0.0
IL-03,Safe D,1.1881531694078703e-07,793478.13,0.0,0.0
IL-04,Safe D,0.0,365281.46,0.0,0.0
IL-05,Safe D,0.0,584763.14,0.0,0.0
IL-06,Likely D,0.0022755082905381724,1307539.58,2.3283064365386963e-10,0.0
IL-07,Safe D,0.0,2121254.15,0.0,0.0
IL-08,Likely D,2.5282462326176973e-06,20801949.71,0.0,0.0
IL-09,Safe D,2.8021290884817903e-05,3829011.69,0.0,0.0
IL-10,Safe D,1.3044629992493076e-07,1889964.83,0.0,0.0
IL-11,Likely D,0.001488289686357821,1043650.12,1.1641532182693481e-10,0.0
IL-12,Safe R,9.019653530426657e-06,74828.62,2.9103830456733704e-11,0.0
IL-13,Likely D,0.0006715982599023536,1633383.24,0.0,0.0
IL-14,Likely D,0.00018508354598640073,1690021.28,0.0,0.0
IL-15,Safe R,2.1169403468269496e-05,83103.55,1.4551915228366852e-11,0.0
IL-16,Safe R,0.00016687577908870078,77336.28,1.4551915228366852e-11,0.0
IL-17,Lean D,0.009995898293125204,784997.4,3.4924596548080444e-10,0.0
IN-01,Likely D,0.04627094420722716,873154.31,414114.1685548227,0.0
IN-02,Safe R,7.116448961556104e-05,141897.69,0.0,0.0
IN-03,Safe R,3.048822246828665e-05,84576.47,0.0,0.0
IN-04,Safe R,9.568315777555662e-06,7594.79,0.0,0.0
