tier,n_obs,eta,se,p_value
Safe D,206,0.6482167411511283,0.257204241912116,0.011727442420820067
Likely D,173,-0.16459862776088177,0.08883005285817255,0.06388794202511118
Lean D,241,0.2588087049803602,0.06992561413744267,0.00021458198911637391
Toss-Up,200,0.4749576212411175,0.072800612311724,6.841640844706737e-11
Lean R,42,0.3039578367132717,0.10367014027300284,0.003368182822198121
Likely R,183,0.4053033788929735,0.26969297033664535,0.13288222555886514
Safe R,276,-0.1437485904005795,0.06942341710128139,0.038395568479081585
