district_id,cook_rating,incumb_status,pvi,cand_d_total,r_total,outspent_ratio,indiv_share,msg_i_per_1m,model_recommended_party_dollars,model_party_share_pct,weak_fundraising,low_grassroots_support,severely_outspent,deep_structural_pvi,n_flags,explicable_by_observables,marginal_model_conviction
CT-02,Lean D,Incumbent,2.13,2525036.0,1106519.0,0.44,0.466,0.038905,954375.0,0.296,True,True,False,False,2,True,True
CA-06,Likely D,Incumbent,7.58,1839781.0,1157631.0,0.63,0.465,0.071038,887810.0,0.276,True,True,False,False,2,True,True
OH-14,Safe R,Challenger,-9.04,375831.0,1442817.0,3.84,0.407,0.156108,863049.0,0.268,True,True,True,False,3,True,True
FL-28,Toss-Up,Open,0.74,123519.0,1478541.0,11.97,0.595,0.511539,840246.0,0.261,True,True,True,False,3,True,True
GA-12,Likely R,Challenger,-7.63,193938.0,778378.0,4.01,0.945,0.349019,825571.0,0.256,True,False,True,False,2,True,True
PA-10,Likely R,Challenger,-5.33,412696.0,3678453.0,8.91,0.906,0.130702,820132.0,0.255,True,False,True,False,2,True,True
NC-04,Safe D,Challenger,16.04,1125310.0,445981.0,0.4,0.803,0.026524,772058.0,0.24,True,False,False,True,2,True,True
WA-04,Safe R,Challenger,-11.86,752779.0,2548413.0,3.39,0.981,0.059472,691310.0,0.215,True,False,True,False,2,True,True
VA-01,Likely R,Challenger,-6.88,265658.0,1842095.0,6.93,0.978,0.215703,617021.0,0.192,True,False,True,False,2,True,True
ME-01,Safe D,Incumbent,8.05,618990.0,445248.0,0.72,0.506,0.251696,612947.0,0.19,True,True,False,False,2,True,True
MD-03,Safe D,Incumbent,8.51,740296.0,500293.0,0.68,1.0,0.187849,603203.0,0.187,True,False,False,False,1,True,True
TN-09,Safe D,Incumbent,22.63,313773.0,549265.0,1.75,0.219,0.99071,527282.0,0.164,True,True,False,True,3,True,True
MI-01,Safe R,Challenger,-12.86,578257.0,1972974.0,3.41,0.917,0.068158,490819.0,0.152,True,False,True,False,2,True,True
KY-03,Likely D,Open,8.08,2867875.0,621241.0,0.22,0.798,0.010977,462035.0,0.143,False,False,False,False,0,False,True
MI-05,Safe R,Challenger,-14.54,161457.0,247292.0,1.53,0.542,0.200419,461823.0,0.143,True,True,False,False,2,True,True
MD-02,Likely D,Incumbent,6.59,1390058.0,500122.0,0.36,0.352,0.042832,435721.0,0.135,True,True,False,False,2,True,True
FL-09,Safe D,Incumbent,9.59,1445548.0,630945.0,0.44,0.362,0.045489,424218.0,0.132,True,True,False,False,2,True,True
FL-23,Lean D,Challenger,5.29,1670074.0,230559.0,0.14,0.652,0.012142,422077.0,0.131,True,True,False,False,2,True,True
FL-14,Safe D,Incumbent,8.86,1658329.0,654225.0,0.39,0.604,0.036186,409196.0,0.127,True,True,False,False,2,True,True
MN-05,Safe D,Incumbent,29.53,3227971.0,3207653.0,0.99,0.866,0.029288,389570.0,0.121,False,False,False,True,1,True,True
MD-07,Safe D,Incumbent,30.23,309659.0,588222.0,1.9,0.412,0.875384,385236.0,0.12,True,True,False,True,3,True,True
PA-05,Safe D,Incumbent,13.94,1512235.0,734779.0,0.49,0.574,0.04012,331823.0,0.103,True,True,False,False,2,True,True
TX-03,Safe R,Open,-12.26,447510.0,2729874.0,6.1,0.333,0.094915,324927.0,0.101,True,True,True,False,3,True,True
