cook_rating,delta_seats_no_maturity,delta_seats_with_maturity,change
Safe D,0.5944845403548842,0.269637110417267,-0.32484742993761717
Likely D,1.1071514072331854,0.539955317406565,-0.5671960898266204
Lean D,0.790886519390651,0.2554024847643307,-0.5354840346263203
Toss-Up,0.7635359280910805,0.5137144919034707,-0.24982143618760977
Lean R,0.8240218338425681,0.6848173795762078,-0.1392044542663603
Likely R,2.6168075014439376,1.5300555691638076,-1.08675193228013
Safe R,1.205275797851725,0.40295142219093216,-0.8023243756607928
