cook_category,n,rho,p_value
Likely D,34,-0.43712757830404886,0.009736544152465719
Lean D,32,-0.655791788856305,4.612041330531898e-05
Toss-Up,22,-0.707509881422925,0.0002306872118191481
Lean R,7,-0.5357142857142858,0.21521745567801298
Likely R,34,-0.14285714285714285,0.420253211810549
