cook_category,n,rho,p_value
Likely D,40,-0.1307692307692308,0.4212273441927973
Lean D,28,-0.3886152162014231,0.04098047601183828
Toss-Up,18,-0.9318885448916409,1.8782879349938005e-08
Lean R,7,-0.9285714285714288,0.0025194724037946887
Likely R,36,0.27696267696267696,0.10198651341310808
