district_id,cook_rating,actual_m,forecast_m,model_m,cook_m,uniform_m,p_win,delta_m,rank
NY-14,Safe D,20.38146884,20.678846410123082,0.0,2.4147058553538536,1.2206028932949309,0.9976522094867822,-20.38146884,0
NY-08,Safe D,14.8540856,15.151463170123082,0.0,2.4147058553538536,1.2206028932949309,0.9976857272709488,-14.8540856,1
NJ-05,Likely D,12.704563590000001,13.144439930589778,0.0,2.115979357784305,1.2206028932949309,0.9812041323277333,-12.704563590000001,2
MD-06,Toss-Up,12.013487969999998,12.718427825323527,0.0,1.2446937398731206,1.2206028932949309,0.7094045281697021,-12.013487969999998,3
NY-17,Toss-Up,11.70713224,12.412072095323529,0.22434267594575882,1.2446937398731206,1.2206028932949309,0.7271680840173098,-11.482789564054242,4
TX-30,Safe D,9.58462868,9.882006250123082,0.0,2.4147058553538536,1.2206028932949309,0.9972994881707326,-9.58462868,5
NY-10,Safe D,8.13732803,8.434705600123083,0.0,2.4147058553538536,1.2206028932949309,0.9987194175349016,-8.13732803,6
GA-14,Safe R,8.08028363,8.205168943351975,0.0,0.07468162439238722,1.2206028932949309,0.09116976258342341,-8.08028363,7
CA-04,Safe D,7.7232103,8.020587870123082,0.0,2.4147058553538536,1.2206028932949309,0.9734847910791157,-7.7232103,8
CA-17,Safe D,7.54083012,7.838207690123083,0.0,2.4147058553538536,1.2206028932949309,0.9971632711248125,-7.54083012,9
TX-33,Safe D,7.2720543499999994,7.569431920123082,0.0,2.4147058553538536,1.2206028932949309,0.9725219431746663,-7.2720543499999994,10
MD-05,Safe D,6.7945486299999995,7.0919262001230825,0.0,2.4147058553538536,1.2206028932949309,0.907865813124623,-6.7945486299999995,11
CO-04,Safe R,6.73903072,6.863916033351975,0.0,0.07468162439238722,1.2206028932949309,0.16675313957708032,-6.73903072,12
NY-12,Safe D,6.42378718,6.721164750123083,0.0,2.4147058553538536,1.2206028932949309,0.9917787230563645,-6.42378718,13
VA-07,Lean D,5.9175043700000005,6.658731213485312,0.0,1.7425712358223686,1.2206028932949309,0.9708943250211249,-5.9175043700000005,14
ME-02,Likely R,5.84714575,6.288842098985014,1.1047384617563356,0.3734081219619361,1.2206028932949309,0.4305397989575277,-4.7424072882436645,15
MD-08,Safe D,4.49714549,4.794523060123083,0.0,2.4147058553538536,1.2206028932949309,0.9980231576415582,-4.49714549,16
MN-05,Safe D,4.46731664,4.764694210123083,0.0,2.4147058553538536,1.2206028932949309,0.9946206635231725,-4.46731664,17
NY-15,Safe D,4.35091584,4.648293410123083,0.005,2.4147058553538536,1.2206028932949309,0.9988029670023161,-4.34591584,18
VA-11,Safe D,4.2190563899999995,4.5164339601230825,0.0,2.4147058553538536,1.2206028932949309,0.9935973808982788,-4.2190563899999995,19
IL-09,Safe D,4.05627403,4.353651600123082,5.7999999999999995e-06,2.4147058553538536,1.2206028932949309,0.9548743846682656,-4.05626823,20
CA-33,Safe D,3.91426413,4.211641700123083,0.0,2.4147058553538536,1.2206028932949309,0.9919438705330224,-3.91426413,21
CA-11,Safe D,4.2886833,4.586060870123083,0.425,2.4147058553538536,1.2206028932949309,0.9988654690388118,-3.8636833,22
CA-32,Safe D,3.76779441,4.0651719801230835,0.0,2.4147058553538536,1.2206028932949309,0.9959969992395781,-3.76779441,23
MI-12,Safe D,3.5853363400000005,3.8827139101230834,0.0,2.4147058553538536,1.2206028932949309,0.9967918158652587,-3.5853363400000005,24
WA-01,Safe D,3.50448793,3.8018655001230828,0.0,2.4147058553538536,1.2206028932949309,0.9927163132005161,-3.50448793,25
TX-18,Safe D,3.4815626099999997,3.7789401801230826,0.0,2.4147058553538536,1.2206028932949309,0.9928618122824113,-3.4815626099999997,26
MA-05,Safe D,3.3494842599999997,3.6468618301230826,0.0,2.4147058553538536,1.2206028932949309,0.9968352095660136,-3.3494842599999997,27
NY-13,Safe D,3.19811194,3.495489510123083,0.0,2.4147058553538536,1.2206028932949309,0.9990137184923712,-3.19811194,28
FL-10,Safe D,3.13297379,3.430351360123083,0.0,2.4147058553538536,1.2206028932949309,0.9937381302660361,-3.13297379,29
CA-07,Safe D,3.0313004400000003,3.3286780101230833,0.0,2.4147058553538536,1.2206028932949309,0.9952761239643898,-3.0313004400000003,30
MO-01,Safe D,2.9015382799999996,3.1989158501230825,0.0,2.4147058553538536,1.2206028932949309,0.9977173022109151,-2.9015382799999996,31
WA-07,Safe D,2.7487548900000003,3.0461324601230833,0.0,2.4147058553538536,1.2206028932949309,0.9987779682151237,-2.7487548900000003,32
IL-08,Likely D,3.1317818500000003,3.571658190589777,0.39925145196033873,2.115979357784305,1.2206028932949309,0.9666761606554803,-2.7325303980396614,33
IL-02,Safe D,2.4707307899999997,2.7681083601230827,0.0,2.4147058553538536,1.2206028932949309,0.995736055413822,-2.4707307899999997,34
KS-03,Toss-Up,2.36948383,3.0744236853235294,0.0,1.2446937398731206,1.2206028932949309,0.9636217067401396,-2.36948383,35
IL-14,Likely D,2.36561983,2.805496170589777,0.0,2.115979357784305,1.2206028932949309,0.9781118905598415,-2.36561983,36
CA-14,Safe D,2.37395282,2.671330390123083,0.02495405,2.4147058553538536,1.2206028932949309,0.9651556443714573,-2.34899877,37
MI-11,Likely D,2.3177329500000003,2.757609290589777,0.0,2.115979357784305,1.2206028932949309,0.9866049458749944,-2.3177329500000003,38
IL-10,Safe D,2.2792819100000004,2.5766594801230833,0.0,2.4147058553538536,1.2206028932949309,0.991196520464028,-2.2792819100000004,39
MI-13,Safe D,2.26560456,2.562982130123083,0.0,2.4147058553538536,1.2206028932949309,0.9971038725770746,-2.26560456,40
WA-03,Toss-Up,4.25432349,4.959263345323529,2.0319109758791813,1.2446937398731206,1.2206028932949309,0.8965152608939848,-2.2224125141208186,41
NJ-06,Safe D,2.2197807999999997,2.5171583701230826,0.0,2.4147058553538536,1.2206028932949309,0.9882866790355211,-2.2197807999999997,42
CO-06,Safe D,2.21784231,2.515219880123083,0.0,2.4147058553538536,1.2206028932949309,0.9876117215582165,-2.21784231,43
DE-00,Likely D,2.2082851299999997,2.648161470589777,0.0,2.115979357784305,1.2206028932949309,0.9860473486286379,-2.2082851299999997,44
IL-07,Safe D,2.12125415,2.418631720123083,0.0,2.4147058553538536,1.2206028932949309,0.9933349416210412,-2.12125415,45
MA-01,Safe D,2.1205066,2.417884170123083,0.0,2.4147058553538536,1.2206028932949309,0.9889395095995733,-2.1205066,46
PA-17,Lean D,2.05664021,2.7978670534853114,0.0,1.7425712358223686,1.2206028932949309,0.9704125330401582,-2.05664021,47
NY-06,Safe D,1.967862,2.2652395701230827,0.0,2.4147058553538536,1.2206028932949309,0.994556686714179,-1.967862,48
NY-05,Safe D,1.96309006,2.260467630123083,0.0,2.4147058553538536,1.2206028932949309,0.9983327073721132,-1.96309006,49
AZ-07,Safe D,1.85766275,2.1550403201230828,0.0,2.4147058553538536,1.2206028932949309,0.9903944211277612,-1.85766275,50
VA-08,Safe D,1.8438895599999998,2.1412671301230826,0.0,2.4147058553538536,1.2206028932949309,0.9975412906497488,-1.8438895599999998,51
NY-18,Lean D,1.77433946,2.5155663034853117,0.0,1.7425712358223686,1.2206028932949309,0.9746607762344107,-1.77433946,52
NY-25,Likely D,1.75906953,2.1989458705897773,0.0,2.115979357784305,1.2206028932949309,0.9856601121739473,-1.75906953,53
IL-13,Likely D,2.04418513,2.484061470589777,0.3141903333461918,2.115979357784305,1.2206028932949309,0.9689691347807426,-1.729994796653808,54
CO-01,Safe D,1.65061103,1.947988600123083,0.0,2.4147058553538536,1.2206028932949309,0.9979450570807508,-1.65061103,55
CA-42,Safe D,1.64608073,1.943458300123083,0.0,2.4147058553538536,1.2206028932949309,0.9944169919467563,-1.64608073,56
CO-02,Safe D,1.6402596299999999,1.9376372001230828,0.0,2.4147058553538536,1.2206028932949309,0.9946466357832111,-1.6402596299999999,57
AL-07,Safe D,1.63578842,1.9331659901230829,0.0,2.4147058553538536,1.2206028932949309,0.9930835279814816,-1.63578842,58
WA-02,Safe D,1.6341231100000002,1.931500680123083,0.0,2.4147058553538536,1.2206028932949309,0.9894293407866247,-1.6341231100000002,59
CT-01,Safe D,1.62900956,1.926387130123083,0.0,2.4147058553538536,1.2206028932949309,0.991479310836988,-1.62900956,60
CA-41,Toss-Up,1.61283135,2.3177712053235293,0.0,1.2446937398731206,1.2206028932949309,0.9555327761065214,-1.61283135,61
UT-01,Safe R,1.97790828,2.102793593351976,0.37413311994295406,0.07468162439238722,1.2206028932949309,0.22010127388459289,-1.603775160057046,62
WA-09,Safe D,1.5832055600000001,1.880583130123083,0.0,2.4147058553538536,1.2206028932949309,0.9953313647138425,-1.5832055600000001,63
NJ-08,Safe D,1.55571477,1.853092340123083,0.0,2.4147058553538536,1.2206028932949309,0.9924151706380461,-1.55571477,64
CA-27,Likely D,1.73534694,2.175223280589777,0.18255891164700874,2.115979357784305,1.2206028932949309,0.9741811550365135,-1.5527880283529911,65
LA-02,Safe D,1.53932056,1.836698130123083,0.0,2.4147058553538536,1.2206028932949309,0.9973260455626998,-1.53932056,66
CA-19,Safe D,1.4926904399999998,1.7900680101230828,0.0,2.4147058553538536,1.2206028932949309,0.9948503799096677,-1.4926904399999998,67
NY-07,Safe D,1.48647032,1.783847890123083,0.0,2.4147058553538536,1.2206028932949309,0.9900903522032778,-1.48647032,68
NJ-10,Safe D,1.486031,1.7834085701230828,0.0,2.4147058553538536,1.2206028932949309,0.9982047094013493,-1.486031,69
CA-51,Safe D,1.44781319,1.745190760123083,0.0,2.4147058553538536,1.2206028932949309,0.9909860336343211,-1.44781319,70
NJ-12,Safe D,1.44192136,1.739298930123083,0.0,2.4147058553538536,1.2206028932949309,0.9159640590779021,-1.44192136,71
NY-26,Safe D,1.4354747700000001,1.7328523401230829,0.0,2.4147058553538536,1.2206028932949309,0.9887737337984467,-1.4354747700000001,72
SC-06,Safe D,1.4293854799999999,1.7267630501230828,0.0,2.4147058553538536,1.2206028932949309,0.9932711312674753,-1.4293854799999999,73
CA-16,Safe D,1.42673234,1.724109910123083,0.0,2.4147058553538536,1.2206028932949309,0.9972616448693403,-1.42673234,74
WA-10,Likely D,1.41439372,1.8542700605897773,0.0,2.115979357784305,1.2206028932949309,0.9865032882552347,-1.41439372,75
FL-20,Safe D,1.40029813,1.6976757001230829,0.0,2.4147058553538536,1.2206028932949309,0.9968002326370502,-1.40029813,76
GA-13,Safe D,1.38993464,1.687312210123083,0.0,2.4147058553538536,1.2206028932949309,0.9961953356803982,-1.38993464,77
CA-49,Lean D,2.01552336,2.7567502034853115,0.6382984972961464,1.7425712358223686,1.2206028932949309,0.955810073517601,-1.3772248627038537,78
CA-50,Safe D,1.36320609,1.660583660123083,0.0,2.4147058553538536,1.2206028932949309,0.9933020601348721,-1.36320609,79
OH-13,Lean D,1.36110702,2.1023338634853115,0.0,1.7425712358223686,1.2206028932949309,0.9685401183811503,-1.36110702,80
CA-34,Safe D,1.35773497,1.655112540123083,0.0,2.4147058553538536,1.2206028932949309,0.9986007197621465,-1.35773497,81
CO-07,Lean D,1.32230986,2.0635367034853114,0.0,1.7425712358223686,1.2206028932949309,0.9765242348147372,-1.32230986,82
CA-36,Safe D,1.31937698,1.616754550123083,0.0,2.4147058553538536,1.2206028932949309,0.9958798019536494,-1.31937698,83
CA-18,Safe D,1.31832745,1.615705020123083,0.0,2.4147058553538536,1.2206028932949309,0.9959919918381184,-1.31832745,84
PA-03,Safe D,1.3078018399999998,1.6051794101230827,0.0,2.4147058553538536,1.2206028932949309,0.9953481199475297,-1.3078018399999998,85
CA-47,Likely D,1.66486718,2.104743520589777,0.3995972906096389,2.115979357784305,1.2206028932949309,0.9662914506576343,-1.265269889390361,86
MA-03,Safe D,1.25813133,1.555508900123083,0.0,2.4147058553538536,1.2206028932949309,0.9912418873818123,-1.25813133,87
TN-09,Safe D,1.50021373,1.797591300123083,0.2488291587519287,2.4147058553538536,1.2206028932949309,0.9795050123549722,-1.2513845712480713,88
MN-04,Safe D,1.20392939,1.501306960123083,0.0,2.4147058553538536,1.2206028932949309,0.9936618764518657,-1.20392939,89
CA-44,Safe D,1.1788961599999999,1.4762737301230828,0.0,2.4147058553538536,1.2206028932949309,0.9973593005273473,-1.1788961599999999,90
TX-29,Safe D,1.15818353,1.455561100123083,0.0,2.4147058553538536,1.2206028932949309,0.9961289476850077,-1.15818353,91
PA-04,Likely D,1.15547025,1.595346590589777,0.0,2.115979357784305,1.2206028932949309,0.9868221696720886,-1.15547025,92
NY-20,Likely D,1.1527611299999998,1.592637470589777,0.0,2.115979357784305,1.2206028932949309,0.9852516980821865,-1.1527611299999998,93
OH-03,Safe D,1.1372036799999998,1.4345812501230828,0.0,2.4147058553538536,1.2206028932949309,0.9957957515213767,-1.1372036799999998,94
MA-07,Safe D,1.1310562800000001,1.4284338501230829,0.0,2.4147058553538536,1.2206028932949309,0.9987087351524607,-1.1310562800000001,95
NC-04,Safe D,1.1256358599999998,1.4230134301230828,0.0,2.4147058553538536,1.2206028932949309,0.9693619918400791,-1.1256358599999998,96
MI-06,Safe D,1.12214922,1.419526790123083,0.0,2.4147058553538536,1.2206028932949309,0.9907792668626526,-1.12214922,97
MA-04,Safe D,1.10998074,1.4073583101230829,0.0,2.4147058553538536,1.2206028932949309,0.9908093639058123,-1.10998074,98
NY-09,Safe D,1.0930298799999998,1.3904074501230828,0.0,2.4147058553538536,1.2206028932949309,0.9975504250084193,-1.0930298799999998,99
GA-06,Safe R,1.1737814,1.298666713351976,0.08457810198266734,0.07468162439238722,1.2206028932949309,0.8635722034852022,-1.0892032980173327,100
KY-03,Safe D,1.08334117,1.380718740123083,0.0,2.4147058553538536,1.2206028932949309,0.9872929427258919,-1.08334117,101
NC-02,Safe D,1.07580144,1.373179010123083,0.0,2.4147058553538536,1.2206028932949309,0.9913430005386416,-1.07580144,102
