horizon_days,horizon_months,n_cycles_covering,n_pooled_obs,pooled_std_dG,pooled_std_over_sqrt_days
30,1.0,4,2205,1.0173156263129899,0.18573557221137357
60,2.0,4,2085,1.440291418929898,0.1859408226400315
90,3.0,4,1965,1.7348703242734915,0.18287138899130448
180,5.9,4,1605,2.491089171239064,0.18567482416347203
270,8.9,4,1245,2.9315925456257204,0.17841104073924444
365,12.0,4,865,3.059225359195203,0.16012717375974087
450,14.8,4,525,2.7210211439175382,0.1282701668410712
