district_id,state,district,cook_rating,incumb_status,pvi,d_total_22,r_total_22,d_total,r_total,mu_22,mu_hat,sigma_i,p_win_22,p_win,msg_22,msg_i_per_1m,rec_share_22,obs_share_24,diff_22,outcome,redistricting_flagged
MI-03,MI,3,Lean D,Incumbent,0.5192327169860678,5026544.62,3019269.65,3836953.07,607659.44,17.121865811379166,24.501,9.932,0.957636022346007,0.9932,2.5776585162194464e-08,0.009838,0.0,0.005114,-0.005114,D,False
IA-01,IA,1,Likely R,Challenger,-3.23919947167052,2725605.85,2875507.69,15358568.86,2234639.1,-8.78762016022153,-6.253,6.04,0.0728476391515307,0.1503,1.7747351327371305e-08,0.009527,0.0,0.020471,-0.020471,R,False
MI-10,MI,10,Likely R,Challenger,-3.3435538497304127,1875699.04,4624723.86,2465780.39,4647146.12,-11.18442093582112,-10.389,6.046,0.0321659909675726,0.0429,7.953593375099909e-09,0.009192,0.0,0.003287,-0.003287,R,False
NC-12,NC,12,Safe D,Incumbent,12.402821989006105,342264.92,208271.56,199253.7,42141.89,38.36336627610134,38.363,11.133,0.9997152767992472,0.9997,8.930569685502211e-09,0.008931,0.0,0.000266,-0.000266,D,False
IL-11,IL,11,Likely D,Incumbent,5.085982935594202,2232389.68,2345810.04,2047764.33,562494.4,17.195177275370916,28.039,10.378,0.951234704829293,0.9966,4.852168234517597e-08,0.008729,0.0,0.002729,-0.002729,D,False
FL-13,FL,13,Likely R,Challenger,-5.446031223054323,4029855.2,5525503.1,2185319.64,2764748.05,-12.165769914522516,-11.968,6.169,0.0243080610949072,0.0262,4.193367279308559e-09,0.008619,0.0,0.002913,-0.002913,R,False
CA-41,CA,41,Likely R,Challenger,-3.549850628790136,3902287.91,2350539.93,9982068.7,4783169.87,-8.09710903126908,-7.75,6.058,0.0906786919079553,0.1004,1.8692393837639212e-08,0.008531,0.0,0.013305,-0.013305,R,False
CA-45,CA,45,Lean D,Challenger,3.405664749834103,4498799.3,4610731.43,27120855.67,4716765.14,-0.4033861110502407,1.961,6.05,0.4734185722768327,0.6271,3.1322028011774304e-08,0.008522,0.0,0.036149,-0.036149,D,False
AZ-07,AZ,7,Safe D,Incumbent,15.636005284412564,447764.56,-1262849.95,474597.04,300504.0,35.612052056945025,35.612,11.485,0.9990350145205268,0.999,8.336155392911817e-09,0.008336,0.0,0.000633,-0.000633,D,False
OH-09,OH,9,Toss-Up,Incumbent,-2.6750752258288104,1949470.8,1212574.31,9824596.64,937806.01,12.823273281628632,21.776,10.14,0.8969966330254786,0.9841,1.2757062766590508e-07,0.008311,0.15,0.013095,0.136905,D,False
