district_id,cook_rating,pvi,phi0_at_floor,sigma_i,C_i_ceiling_pp,mu_floor_pp,mu_raw_uncapped_pp,mu_capped_pp,delta_raw_pp,saturation_pct,model_party_dollars
MD-07,Safe D,30.23,0.8354,23.919,5.5012,23.335,41.354,28.629,18.018,96.2,385236.0
TN-09,Safe D,22.63,0.7956,22.849,6.5038,18.877,38.913,25.082,20.036,95.4,527282.0
CA-36,Safe D,21.38,0.8816,22.677,4.1766,26.823,33.088,30.067,6.265,77.7,993398.0
MN-05,Safe D,29.53,0.9431,23.82,2.1449,37.676,39.876,39.052,2.2,64.1,389570.0
AZ-09,Safe R,-15.97,0.6799,21.95,8.7051,10.262,16.31,14.622,6.049,50.1,2710839.0
NC-04,Safe D,16.04,0.8822,12.086,4.1578,14.333,15.123,15.052,0.79,17.3,772058.0
