tier,observed_eta
Safe D,0.3705156441807805
Safe D,0.3632470278217966
Safe D,0.1689631039317541
Safe D,0.1929479885124803
Safe D,-0.1371786299169857
Safe D,1.069694529719842
Safe D,0.3182015334975613
Likely D,0.1799649367801438
Likely D,0.5906036196686204
Likely D,0.5427028241936118
Likely D,0.423312720315018
Likely D,0.034796691535519
Likely D,-0.2120391243164905
Likely D,-0.1014981914760664
Lean D,0.6371795918918658
Lean D,0.0046416894428997
Lean D,0.435826774059917
Lean D,-0.0965661994408772
Lean D,0.6619827929557665
Lean D,0.2938841818755611
Lean D,0.2365321180823472
Toss-Up,0.4221527012342252
Toss-Up,0.2521631096869263
Toss-Up,-0.2167942260713566
Toss-Up,0.0792254278807061
Toss-Up,0.1100790225600656
Toss-Up,0.729939109263241
Toss-Up,0.3414522734491998
Lean R,0.5722407455611278
Lean R,0.4635953544892922
Lean R,0.0766819056577163
Lean R,0.4264156791497973
Lean R,0.3868884135796586
Lean R,0.1830996353790613
Likely R,0.5617242440432889
Likely R,0.1667256664624878
Likely R,0.5286603596595743
Likely R,0.4502411134464164
Likely R,0.6251656990480305
Likely R,-0.0172449852167362
Likely R,0.4115858359343354
Safe R,0.5836100382396279
Safe R,0.5640322532414572
Safe R,0.3063260654379733
Safe R,0.3604121842830939
Safe R,0.5111953595865436
Safe R,-0.0033462387436219
Safe R,-0.1649531977895235
