district_id,cook_rating,incumb_status,pvi,cand_d_total,r_total,outspent_ratio,indiv_share,msg_i_per_1m,model_recommended_party_dollars,model_party_share_pct,weak_fundraising,low_grassroots_support,severely_outspent,deep_structural_pvi,n_flags,explicable_by_observables,marginal_model_conviction
WA-06,Likely D,Open,6.01,1951071.0,255580.0,0.13,0.782,0.008451,1267434.0,0.273,True,False,False,False,1,True,True
FL-07,Likely R,Challenger,-5.12,277060.0,1614017.0,5.83,0.447,0.258652,1255192.0,0.27,True,True,True,False,3,True,True
TX-03,Safe R,Challenger,-12.26,428977.0,119411.0,0.28,0.342,0.059295,1244891.0,0.268,True,True,False,False,2,True,True
OH-10,Likely R,Challenger,-4.18,205054.0,1395565.0,6.81,0.795,0.367014,1141512.0,0.245,True,False,True,False,2,True,True
MI-01,Safe R,Challenger,-12.86,1004282.0,1917998.0,1.91,0.958,0.036531,1128092.0,0.243,True,False,False,False,1,True,True
GA-02,Likely D,Incumbent,3.24,1785250.0,598266.0,0.34,0.363,0.035488,1072205.0,0.231,True,True,False,False,2,True,True
PA-16,Safe R,Challenger,-12.69,771634.0,1531454.0,1.98,0.836,0.049944,1025086.0,0.22,True,False,False,False,1,True,True
FL-23,Likely D,Incumbent,5.29,2091402.0,745570.0,0.36,0.669,0.029115,962544.0,0.207,True,True,False,False,2,True,True
TX-28,Likely D,Incumbent,5.1,2489675.0,794117.0,0.32,0.506,0.021134,914755.0,0.197,True,True,False,False,2,True,True
MD-06,Lean D,Incumbent,1.14,5930649.0,1367518.0,0.23,0.28,0.006235,880339.0,0.189,False,True,False,False,1,True,True
NJ-03,Likely D,Incumbent,4.32,1315834.0,422738.0,0.32,0.649,0.042747,823624.0,0.177,True,True,False,False,2,True,True
RI-01,Safe D,Challenger,12.3,1641064.0,303296.0,0.18,0.736,0.009508,800331.0,0.172,True,False,False,False,1,True,True
IL-11,Likely D,Incumbent,5.09,2537017.0,664293.0,0.26,0.624,0.013645,734480.0,0.158,True,True,False,False,2,True,True
NY-11,Likely R,Challenger,-5.64,273868.0,2075796.0,7.58,1.0,0.208408,725381.0,0.156,True,False,True,False,2,True,True
NY-25,Likely D,Incumbent,7.0,1826736.0,603551.0,0.33,0.235,0.026412,703283.0,0.151,True,True,False,False,2,True,True
CA-21,Safe D,Incumbent,9.24,1885604.0,753557.0,0.4,0.406,0.027107,679206.0,0.146,True,True,False,False,2,True,True
CA-51,Safe D,Incumbent,11.44,1737189.0,762056.0,0.44,0.304,0.030958,576912.0,0.124,True,True,False,False,2,True,True
OK-05,Safe R,Challenger,-12.64,575447.0,1648512.0,2.86,0.951,0.058824,575187.0,0.124,True,False,False,False,1,True,True
OH-01,Lean D,Incumbent,1.49,3607909.0,538753.0,0.15,0.722,0.005344,484007.0,0.104,False,False,False,False,0,False,True
WA-05,Safe R,Challenger,-8.08,591454.0,4670285.0,7.9,0.916,0.041197,481273.0,0.103,True,False,True,False,2,True,True
