tier,n_2022,eta_2022,se_2022,n_2024,eta_2024,se_2024,ci_2022,ci_2024,cis_overlap,point_estimate_ratio
Safe D,109,1.069694529719842,0.1813180217547551,97,0.31820153349756125,0.1958912949208948,"[0.71, 1.43]","[-0.07, 0.70]",False,3.361688795029142
Likely D,91,-0.21203912431649058,0.1304268225866678,82,-0.10149819147606647,0.11140766405466952,"[-0.47, 0.04]","[-0.32, 0.12]",True,2.0890926353745916
Lean D,127,0.2938841818755611,0.1232834575744678,114,0.2365321180823473,0.08883192460602207,"[0.05, 0.54]","[0.06, 0.41]",True,1.2424705120733202
Toss-Up,139,0.729939109263241,0.1463869206866843,61,0.3414522734491997,0.08184590236004137,"[0.44, 1.02]","[0.18, 0.50]",True,2.1377485699237533
Lean R,22,0.3868884135796588,0.6453845568717413,20,0.1830996353790613,0.19650863539611782,"[-0.88, 1.65]","[-0.20, 0.57]",True,2.1129939050872744
Likely R,93,-0.017244985216736237,0.043839063545329016,90,0.4115858359343356,0.27502960593563563,"[-0.10, 0.07]","[-0.13, 0.95]",True,0.04189887919147806
Safe R,139,-0.003346238743621956,0.004566079309108957,137,-0.16495319778952344,0.06530348489420455,"[-0.01, 0.01]","[-0.29, -0.04]",False,0.020285988925729595
