district_id,cook_rating,predicted_dccc_share,predicted_dccc_dollars,model_optimal_dollars
AL-01,Safe R,0.0007110582259280957,280375.6853124726,307.6435239845232
AL-02,Safe R,0.0002025219068776873,79855.93353836304,3327583.1634076177
AL-03,Safe R,0.00026983014233817996,106396.0844799784,60.87898894787941
AL-04,Safe R,1.1984530163881211e-05,4725.5917101027735,0.0
AL-05,Safe R,0.00043940604385075987,173261.1566574541,819833.0614693407
AL-06,Safe R,0.0002478971204360924,97747.72655015517,1203.675006986472
AL-07,Safe D,0.0006498217285992577,256229.66705595283,0.0
AR-01,Safe R,0.00015291040181432405,60293.738454594626,1195.8397845100626
AR-02,Safe R,0.003614979367816779,1425413.9544186522,3498946.719150452
AR-03,Safe R,0.000605309882208334,238678.30630755646,25968.700332580847
AR-04,Safe R,0.0004089526312798461,161253.14365889996,0.0
AZ-01,Toss-Up,0.010091709466011758,3979238.062838384,5423106.975638082
AZ-02,Likely R,0.009869958129421716,3891799.8184045493,5791517.235719463
AZ-03,Safe D,0.00014432108037151805,56906.90345560064,0.0
AZ-04,Lean D,0.004268232787156812,1682996.7633245143,608797.9432837258
AZ-05,Safe R,0.0015887420389592063,626453.1113137944,79675.85451064004
AZ-06,Likely R,0.012971383672615447,5114715.580307967,6047167.839814931
AZ-07,Safe D,0.0005697348672746885,224650.80640907283,0.0
AZ-08,Safe R,0.0016846128958394378,664255.7218724508,18088.450099434347
AZ-09,Safe R,0.0010809198675805452,426214.95341706264,2085319.2786696414
CA-01,Safe R,0.0019832071667792296,781993.7217891947,3564340.957049214
CA-02,Safe D,9.824608940572404e-05,38739.18287134174,0.0
CA-03,Toss-Up,0.0029015552636745333,1144105.385269849,1323127.3886215766
CA-04,Safe D,0.005656312115102447,2230327.0362186343,0.0
CA-05,Safe R,0.0023400116420671316,922684.4495433505,1903988.0579614895
CA-06,Likely D,0.0031578808482507583,1245176.519556884,0.0
CA-07,Safe D,0.0005633832091756976,222146.2991444945,0.0
CA-08,Safe D,4.5344026999218025e-05,17879.495913487437,0.0
CA-09,Likely D,0.0024486512128814976,965521.861457647,0.0
CA-10,Safe D,0.00022824340134400663,89998.11511405936,0.0
CA-11,Safe D,2.375760234573414e-05,9367.803924034768,425000.0
CA-12,Safe D,4.4806033780045334e-06,1766.7361081178697,0.0
CA-13,Likely D,0.005855271786465036,2308778.353106249,4604757.820722186
CA-14,Safe D,0.0005123217964330468,202012.39439702107,24954.05
CA-15,Safe D,3.4714918717635835e-05,13688.3573962172,0.0
CA-16,Safe D,6.924470955241642e-05,27303.717455320075,0.0
CA-17,Safe D,0.0009751318121995499,384501.9158010408,0.0
CA-18,Safe D,0.00013450373334023165,53035.84859472116,0.0
CA-19,Safe D,0.00027092316177746865,106827.07038686446,0.0
CA-20,Safe R,0.0005619000499949017,221561.47815996775,12003.151535043944
CA-21,Safe D,0.0010767043991572031,424552.76204509026,495428.1876439508
CA-22,Lean D,0.006729091533569836,2653332.1484220983,4450477.237836176
CA-23,Safe R,0.002503367057258537,987096.73648935,178699.47565036698
CA-24,Safe D,0.0006775240326768059,267152.8969789866,109639.84723474598
CA-25,Likely D,0.002245987752245681,885610.1121921089,1214277.7031437722
CA-26,Safe D,0.00133051478222145,524632.1331798186,506712.00456973247
CA-27,Likely D,0.00348411949428959,1373814.9075583192,182558.91164700873
CA-28,Safe D,0.00034579737633165053,136350.5446290213,0.0
CA-29,Safe D,3.9344902279061966e-05,15513.995250734622,0.0
CA-30,Safe D,0.0004180650267539606,164846.23074056391,0.0
CA-31,Safe D,0.0006890672332995041,271704.4690827536,241419.2958440127
CA-32,Safe D,0.0004876167210479656,192270.994622414,0.0
CA-33,Safe D,0.0018605211589996227,733617.6925764519,0.0
CA-34,Safe D,1.6141954097349933e-05,6364.8956967198155,0.0
CA-35,Safe D,0.0004389746140363085,173091.0405889238,0.0
CA-36,Safe D,0.00016493606700054852,65035.550017951726,0.0
CA-37,Safe D,6.997482820859153e-06,2759.1608813749026,0.0
CA-38,Safe D,0.0008761669489874944,345479.3149321479,0.0
CA-39,Safe D,0.0006652864405280622,262327.52099687187,0.0
CA-40,Lean R,0.020422854458864142,8052887.38129296,10338126.478869686
CA-41,Toss-Up,0.003487783637503076,1375259.707192306,0.0
CA-42,Safe D,0.00013053501929415716,51470.95435694619,0.0
CA-43,Safe D,1.3999619927839324e-05,5520.156983289047,0.0
CA-44,Safe D,7.297182611371779e-05,28773.347960965908,0.0
CA-45,Likely D,0.005166890892492099,2037344.5128581342,3104062.1091992203
CA-46,Safe D,0.00029556792049120935,116544.68683762234,39901.24411120324
CA-47,Likely D,0.00388891351921234,1533428.2809919417,399597.2906096389
CA-48,Safe R,0.00362823582556808,1430641.0768838844,3961780.3633036623
CA-49,Lean D,0.0048246527798493696,1902397.4130661185,638298.4972961463
CA-50,Safe D,0.0006016355049479357,237229.47131076545,0.0
CA-51,Safe D,0.0009686991424474325,381965.4650233501,0.0
CA-52,Safe D,0.00015222216837565652,60022.362757098825,0.0
CO-01,Safe D,4.949298038088175e-05,19515.45989688013,0.0
CO-02,Safe D,0.0004118646865806946,162401.38928896427,0.0
CO-03,Likely R,0.004014750861281445,1583046.9053661614,5182736.214231696
CO-04,Safe R,0.0060049386138772325,2367793.1254189764,0.0
CO-05,Safe R,0.0026480732495906085,1044155.492530189,3658016.2032605577
CO-06,Safe D,0.0021493875341218956,847519.9089286007,0.0
CO-07,Lean D,0.0038312722965883686,1510699.9069908522,0.0
CO-08,Toss-Up,0.012794455605032194,5044951.492936756,5015156.726518394
CT-01,Safe D,0.0010166273110166796,400863.9076801871,0.0
CT-02,Lean D,0.0033228662177045417,1310231.5099084247,365212.5630912964
CT-03,Likely D,0.0018281885000289775,720868.6783799889,0.0
CT-04,Safe D,0.0006750395179396435,266173.23385619296,0.0
CT-05,Lean D,0.0035535048508514395,1401174.0832028831,443852.71477660444
DE-00,Likely D,0.0029678653463316713,1170251.9569431539,0.0
FL-01,Safe R,0.0002884854361187501,113752.00919571579,878.9800857833325
FL-02,Likely R,0.0059811874577142985,2358427.8632740173,306311.1478760688
FL-03,Safe R,0.002276012709760286,897449.1820919719,3568.549506070667
FL-04,Likely R,0.0038334312201042608,1511551.187010172,3930751.2449932643
FL-05,Safe R,0.0012728297140619778,501886.47054945026,833833.5889114363
