period_date,days_before_election,party_dollars_spent_to_date,pct_of_final_party_budget_spent,model_expected_seats,gain_vs_dccc_final,pct_of_full_hindsight_gain,real_world_expected_seats,real_world_gain_vs_dccc_final
2021-04-15,572,6217928.0,1.9,193.175,-20.191,-626.6,212.472,-0.894
2021-07-15,481,6217928.0,1.9,195.003,-18.363,-569.8,209.518,-3.849
2021-10-15,389,6225583.0,1.9,204.005,-9.362,-290.5,213.699,0.333
2022-04-15,207,6250058.0,1.9,214.695,1.329,41.2,215.133,1.766
2022-07-15,116,7752306.0,2.4,217.495,4.128,128.1,215.616,2.25
2022-10-15,24,101664138.0,31.6,217.6,4.233,131.4,216.188,2.821
